SIFARNIK,AOP,column_name,metric_label_hr,metric_label_en,metric_label_de,VRSTA,exists_in_db_afs
61,177,b177,UKUPNI PRIHODI (AOP 125+154+173 + 174),TOTAL INCOME (EDV 125 + 154 + 173 + 174),GESAMTERTRÄGE (EDP 125 + 154 + 173 + 174),00,1
61,178,b178,UKUPNI RASHODI (AOP 131+165+175 + 176),TOTAL EXPENSES (EDV 131 + 165 + 175 + 176),GESAMTERTRÄGE (EDP 131 + 165 + 175 + 176),00,1
61,179,b179,DOBIT ILI GUBITAK PRIJE OPOREZIVANJA (AOP 177-178),PROFIT OR LOSS BEFORE TAXES (EDV 177 - 178),GEWINN ODER VERLUST VOR STEUER (EDP 177 - 178),00,1
61,180,b180,Dobit prije oporezivanja (AOP 177-178),Profit before taxation (EDV 177 - 178),Gewinn vor abzug der steuern (EDP 177 - 178),00,1
61,181,b181,Gubitak prije oporezivanja (AOP 178-177),Loss before taxation (EDV 178 - 177),Verlust vor abzug der steuern (EDP 178 - 177),00,1
61,182,b182,POREZ NA DOBIT,CORPORATE INCOME TAX,GEWINNSTEUER,00,1
61,183,b183,DOBIT ILI GUBITAK RAZDOBLJA (AOP 179-182),PERIODS PROFIT OR LOSS (EDV 179 - 182),GEWINN ODER VERLUST DES ZEITRAUMS (EDP 179 - 182),00,1
61,184,b184,Dobit razdoblja (AOP 179-182),WILL PERIOD PROFIT (EDV 179 - 182),GEWINN IM ZEITRAUM (EDP 179 - 182),00,1
61,185,b185,Gubitak razdoblja (AOP 182-179),Period loss (EDV 182 - 179),VERLUST IM ZEITRAUM (EDP 182 - 179),00,1
61,186,b186,DOBIT ILI GUBITAK PREKINUTOG POSLOVANJA PRIJE OPOREZIVANJA (AOP 187-188),PROFIT OR LOSS FROM DISCONTINUED OPERATION BEFORE TAXATION (EDP 187 - 188),GEWINN ODER VERLUST VOR STEUERN BEI STILLLEGUNG DES GESCHÄFTSBETRIEBS (EDV 187 - 188),00,1
61,187,b187,Dobit prekinutog poslovanja prije oporezivanja,Profit from discontinued operation before taxation,Gewinn vor Steuern bei Stilllegung des Geschäftsbetriebs,00,1
